,AAPL,GOOG,NVDA
2025-01-02 14:30:00+00:00,,191.89500427246094,136.39999389648438
2025-01-02 14:31:00+00:00,,191.17999267578125,137.55999755859375
2025-01-02 14:32:00+00:00,,190.95849609375,137.39999389648438
2025-01-02 14:33:00+00:00,,190.10000610351562,136.73779296875
2025-01-02 14:34:00+00:00,,190.13160705566406,136.5644989013672
2025-01-02 14:35:00+00:00,,189.79820251464844,136.19000244140625
2025-01-02 14:36:00+00:00,,190.0800018310547,135.74000549316406
2025-01-02 14:37:00+00:00,,190.3209991455078,135.9958953857422
2025-01-02 14:38:00+00:00,,190.25999450683594,135.27000427246094
2025-01-02 14:39:00+00:00,,189.9427947998047,134.91000366210938
2025-01-02 14:40:00+00:00,,190.07000732421875,134.89999389648438
2025-01-02 14:41:00+00:00,,189.9687042236328,135.08999633789062
2025-01-02 14:42:00+00:00,,190.22000122070312,135.05990600585938
2025-01-02 14:43:00+00:00,,190.08999633789062,134.6820068359375
2025-01-02 14:44:00+00:00,,190.30999755859375,134.99000549316406
2025-01-02 14:45:00+00:00,,190.5800018310547,135.16000366210938
2025-01-02 14:46:00+00:00,,190.5019989013672,135.47000122070312
2025-01-02 14:47:00+00:00,,190.74000549316406,135.4940948486328
2025-01-02 14:48:00+00:00,,190.87010192871094,135.72999572753906
2025-01-02 14:49:00+00:00,,191.2100067138672,136.17999267578125
2025-01-02 14:50:00+00:00,,191.16229248046875,136.06900024414062
2025-01-02 14:51:00+00:00,,191.50999450683594,136.51300048828125
2025-01-02 14:52:00+00:00,,191.57000732421875,136.5789031982422
2025-01-02 14:53:00+00:00,,191.6699981689453,136.9600067138672
2025-01-02 14:54:00+00:00,,191.99000549316406,137.08999633789062
2025-01-02 14:55:00+00:00,,,137.28799438476562
2025-01-02 14:56:00+00:00,,192.2899932861328,137.24420166015625
2025-01-02 14:57:00+00:00,,192.3000030517578,137.24000549316406
2025-01-02 14:58:00+00:00,,192.13999938964844,137.18499755859375
2025-01-02 14:59:00+00:00,,192.25999450683594,137.27000427246094
2025-01-02 15:00:00+00:00,,192.44000244140625,137.32029724121094
2025-01-02 15:01:00+00:00,,192.42999267578125,137.50650024414062
2025-01-02 15:02:00+00:00,,192.44000244140625,137.33999633789062
2025-01-02 15:03:00+00:00,,192.49000549316406,137.52999877929688
2025-01-02 15:04:00+00:00,,192.8997039794922,137.92010498046875
2025-01-02 15:05:00+00:00,,192.94000244140625,138.02999877929688
2025-01-02 15:06:00+00:00,,192.94000244140625,137.97999572753906
2025-01-02 15:07:00+00:00,,192.82000732421875,138.02000427246094
2025-01-02 15:08:00+00:00,,192.94000244140625,137.9949951171875
2025-01-02 15:09:00+00:00,,192.8386993408203,137.8256072998047
2025-01-02 15:10:00+00:00,,192.75999450683594,137.88099670410156
2025-01-02 15:11:00+00:00,,192.72000122070312,137.9199981689453
2025-01-02 15:12:00+00:00,,192.63999938964844,138.0034942626953
2025-01-02 15:13:00+00:00,,192.8300018310547,138.14999389648438
2025-01-02 15:14:00+00:00,,192.6999969482422,137.8300018310547
2025-01-02 15:15:00+00:00,,192.69000244140625,137.69500732421875
2025-01-02 15:16:00+00:00,,192.69000244140625,137.89999389648438
2025-01-02 15:17:00+00:00,,192.2899932861328,137.6999969482422
2025-01-02 15:18:00+00:00,,192.7050018310547,137.76010131835938
2025-01-02 15:19:00+00:00,,192.3300018310547,137.3699951171875
2025-01-02 15:20:00+00:00,,191.92999267578125,137.2100067138672
2025-01-02 15:21:00+00:00,,191.86000061035156,136.99000549316406
2025-01-02 15:22:00+00:00,,191.4761962890625,136.87989807128906
2025-01-02 15:23:00+00:00,,191.3800048828125,136.82000732421875
2025-01-02 15:24:00+00:00,,191.48570251464844,136.81930541992188
2025-01-02 15:25:00+00:00,,191.6300048828125,137.14999389648438
2025-01-02 15:26:00+00:00,,191.6199951171875,137.39500427246094
2025-01-02 15:27:00+00:00,,191.75,137.08999633789062
2025-01-02 15:28:00+00:00,,191.39100646972656,136.6959991455078
2025-01-02 15:29:00+00:00,,191.5800018310547,136.97999572753906
2025-01-02 15:30:00+00:00,,191.36000061035156,136.7100067138672
2025-01-02 15:31:00+00:00,,191.07000732421875,136.52969360351562
2025-01-02 15:32:00+00:00,,191.2100067138672,136.85000610351562
2025-01-02 15:33:00+00:00,,191.27999877929688,136.8000030517578
2025-01-02 15:34:00+00:00,,191.3300018310547,136.9499969482422
2025-01-02 15:35:00+00:00,,191.1342010498047,136.85009765625
2025-01-02 15:36:00+00:00,,191.39999389648438,137.12159729003906
2025-01-02 15:37:00+00:00,,191.22000122070312,137.17999267578125
2025-01-02 15:38:00+00:00,,191.19000244140625,137.1020050048828
2025-01-02 15:39:00+00:00,,191.14999389648438,136.9499969482422
2025-01-02 15:40:00+00:00,,191.1300048828125,137.08599853515625
2025-01-02 15:41:00+00:00,,190.69000244140625,136.6905059814453
2025-01-02 15:42:00+00:00,,190.86000061035156,136.70030212402344
2025-01-02 15:43:00+00:00,,191.0,136.6699981689453
2025-01-02 15:44:00+00:00,,190.99000549316406,136.77200317382812
2025-01-02 15:45:00+00:00,,190.97000122070312,136.82000732421875
2025-01-02 15:46:00+00:00,,190.94000244140625,136.57000732421875
2025-01-02 15:47:00+00:00,,191.07000732421875,136.57000732421875
2025-01-02 15:48:00+00:00,,191.25999450683594,137.02999877929688
2025-01-02 15:49:00+00:00,,191.47500610351562,137.35000610351562
2025-01-02 15:50:00+00:00,,191.36000061035156,137.34719848632812
2025-01-02 15:51:00+00:00,,191.58999633789062,137.6699981689453
2025-01-02 15:52:00+00:00,,191.5399932861328,137.6300048828125
2025-01-02 15:53:00+00:00,,191.1750030517578,137.4600067138672
2025-01-02 15:54:00+00:00,,191.5,137.66000366210938
2025-01-02 15:55:00+00:00,,191.3350067138672,137.60000610351562
2025-01-02 15:56:00+00:00,,191.42999267578125,137.6300048828125
2025-01-02 15:57:00+00:00,,191.33999633789062,137.52000427246094
2025-01-02 15:58:00+00:00,,191.30999755859375,137.41000366210938
2025-01-02 15:59:00+00:00,,191.32000732421875,137.36000061035156
2025-01-02 16:00:00+00:00,,191.27499389648438,137.47999572753906
2025-01-02 16:01:00+00:00,,191.3249969482422,137.52540588378906
2025-01-02 16:02:00+00:00,,191.05999755859375,137.11000061035156
2025-01-02 16:03:00+00:00,,190.94000244140625,136.95269775390625
2025-01-02 16:04:00+00:00,,190.72999572753906,136.77000427246094
2025-01-02 16:05:00+00:00,,190.84039306640625,136.85000610351562
2025-01-02 16:06:00+00:00,,190.97999572753906,136.9792022705078
2025-01-02 16:07:00+00:00,,190.79200744628906,136.88319396972656
2025-01-02 16:08:00+00:00,,190.72000122070312,136.82000732421875
2025-01-02 16:09:00+00:00,,191.00599670410156,136.964599609375
2025-01-02 16:10:00+00:00,,190.77000427246094,136.875
2025-01-02 16:11:00+00:00,,191.10000610351562,137.18499755859375
2025-01-02 16:12:00+00:00,,190.9250030517578,137.0399932861328
2025-01-02 16:13:00+00:00,,191.0500030517578,137.17100524902344
2025-01-02 16:14:00+00:00,,191.30999755859375,137.4199981689453
2025-01-02 16:15:00+00:00,,191.14390563964844,137.19000244140625
2025-01-02 16:16:00+00:00,,191.27000427246094,137.24989318847656
2025-01-02 16:17:00+00:00,,191.3300018310547,137.16990661621094
2025-01-02 16:19:00+00:00,,191.49000549316406,137.53439331054688
2025-01-02 16:20:00+00:00,,191.2100067138672,137.2899932861328
2025-01-02 16:21:00+00:00,,191.09500122070312,137.35000610351562
2025-01-02 16:22:00+00:00,,190.99969482421875,137.3300018310547
2025-01-02 16:23:00+00:00,,191.32000732421875,137.6699981689453
2025-01-02 16:24:00+00:00,,191.4600067138672,137.8800048828125
2025-01-02 16:25:00+00:00,,191.375,137.77000427246094
2025-01-02 16:26:00+00:00,,191.5135040283203,137.97999572753906
2025-01-02 16:27:00+00:00,,191.35000610351562,137.8699951171875
2025-01-02 16:28:00+00:00,,191.47500610351562,138.02000427246094
2025-01-02 16:29:00+00:00,,191.42999267578125,137.92129516601562
2025-01-02 16:30:00+00:00,,191.5,137.89999389648438
2025-01-02 16:31:00+00:00,,191.50680541992188,137.83999633789062
2025-01-02 16:32:00+00:00,,191.47999572753906,137.9600067138672
2025-01-02 16:33:00+00:00,,191.5,138.1199951171875
2025-01-02 16:34:00+00:00,,191.63250732421875,138.10499572753906
2025-01-02 16:35:00+00:00,,191.64999389648438,138.13259887695312
2025-01-02 16:36:00+00:00,,191.58999633789062,138.12269592285156
2025-01-02 16:37:00+00:00,,191.50999450683594,137.91000366210938
2025-01-02 16:38:00+00:00,,191.4600067138672,137.84500122070312
2025-01-02 16:39:00+00:00,,191.63999938964844,137.88999938964844
2025-01-02 16:40:00+00:00,,191.79269409179688,137.99020385742188
2025-01-02 16:41:00+00:00,,191.69000244140625,137.94000244140625
2025-01-02 16:42:00+00:00,,191.5399932861328,137.88499450683594
2025-01-02 16:43:00+00:00,,191.50999450683594,137.83999633789062
2025-01-02 16:44:00+00:00,,191.5399932861328,137.8800048828125
2025-01-02 16:45:00+00:00,,191.52999877929688,137.9499969482422
2025-01-02 16:46:00+00:00,,191.60000610351562,138.02000427246094
2025-01-02 16:47:00+00:00,,191.6750030517578,138.16009521484375
2025-01-02 16:48:00+00:00,,191.8101043701172,138.46499633789062
2025-01-02 16:49:00+00:00,,191.8800048828125,138.5800018310547
2025-01-02 16:50:00+00:00,,191.91000366210938,138.5749969482422
2025-01-02 16:51:00+00:00,,191.91000366210938,138.7239990234375
2025-01-02 16:52:00+00:00,,191.6199951171875,138.4600067138672
2025-01-02 16:53:00+00:00,,191.63999938964844,138.5500030517578
2025-01-02 16:54:00+00:00,,191.5,138.2801055908203
2025-01-02 16:55:00+00:00,,191.4600067138672,138.42999267578125
2025-01-02 16:56:00+00:00,,191.4600067138672,138.4600067138672
2025-01-02 16:57:00+00:00,,191.47500610351562,138.47999572753906
2025-01-02 16:58:00+00:00,,191.49000549316406,138.77999877929688
2025-01-02 16:59:00+00:00,,191.39999389648438,138.6699981689453
2025-01-02 17:00:00+00:00,,191.42999267578125,138.6699981689453
2025-01-02 17:01:00+00:00,,191.49620056152344,138.69329833984375
2025-01-02 17:02:00+00:00,,191.3699951171875,138.5500030517578
2025-01-02 17:03:00+00:00,,191.53500366210938,138.77000427246094
2025-01-02 17:04:00+00:00,,191.64999389648438,138.85000610351562
2025-01-02 17:05:00+00:00,,191.58999633789062,138.75999450683594
2025-01-02 17:06:00+00:00,,191.51499938964844,138.52499389648438
2025-01-02 17:07:00+00:00,,191.39999389648438,138.40460205078125
2025-01-02 17:08:00+00:00,,191.49000549316406,138.42999267578125
2025-01-02 17:09:00+00:00,,191.4600067138672,138.3986053466797
2025-01-02 17:10:00+00:00,,191.4499969482422,138.62989807128906
2025-01-02 17:11:00+00:00,,191.3300018310547,138.46499633789062
2025-01-02 17:12:00+00:00,,191.4906005859375,138.63929748535156
2025-01-02 17:13:00+00:00,,191.7830047607422,138.82899475097656
2025-01-02 17:14:00+00:00,,191.5800018310547,138.6970977783203
2025-01-02 17:15:00+00:00,,191.5449981689453,138.81500244140625
2025-01-02 17:16:00+00:00,,191.30999755859375,138.5399932861328
2025-01-02 17:17:00+00:00,,191.33009338378906,138.47999572753906
2025-01-02 17:18:00+00:00,,191.17999267578125,138.39999389648438
2025-01-02 17:19:00+00:00,,191.273193359375,138.4199981689453
2025-01-02 17:20:00+00:00,,191.0399932861328,138.11900329589844
2025-01-02 17:21:00+00:00,,191.1094970703125,138.27999877929688
2025-01-02 17:22:00+00:00,,191.08999633789062,138.1999969482422
2025-01-02 17:23:00+00:00,,190.7949981689453,138.00999450683594
2025-01-02 17:24:00+00:00,,190.7949981689453,137.9499969482422
2025-01-02 17:25:00+00:00,,190.72000122070312,137.8721923828125
2025-01-02 17:26:00+00:00,,190.39999389648438,137.6750030517578
2025-01-02 17:27:00+00:00,,189.91000366210938,137.4149932861328
2025-01-02 17:28:00+00:00,,189.77999877929688,137.36000061035156
2025-01-02 17:29:00+00:00,,189.5229949951172,137.00999450683594
2025-01-02 17:30:00+00:00,,189.39999389648438,136.85000610351562
2025-01-02 17:31:00+00:00,,189.4199981689453,136.88999938964844
2025-01-02 17:32:00+00:00,,189.4600067138672,136.74729919433594
2025-01-02 17:33:00+00:00,,189.38999938964844,136.57000732421875
2025-01-02 17:34:00+00:00,,189.49009704589844,136.60000610351562
2025-01-02 17:35:00+00:00,,189.58999633789062,136.5894012451172
2025-01-02 17:36:00+00:00,,189.39999389648438,136.39999389648438
2025-01-02 17:37:00+00:00,,189.22999572753906,136.08079528808594
2025-01-02 17:38:00+00:00,,189.1699981689453,136.00999450683594
2025-01-02 17:39:00+00:00,,188.9333953857422,136.02000427246094
2025-01-02 17:40:00+00:00,,189.07000732421875,135.9600067138672
2025-01-02 17:41:00+00:00,,189.14999389648438,136.16000366210938
2025-01-02 17:42:00+00:00,,189.02000427246094,135.91549682617188
2025-01-02 17:43:00+00:00,,189.24000549316406,136.16000366210938
2025-01-02 17:44:00+00:00,,189.1999969482422,136.04010009765625
2025-01-02 17:45:00+00:00,,189.3000030517578,136.05239868164062
2025-01-02 17:46:00+00:00,,189.27499389648438,135.77090454101562
2025-01-02 17:47:00+00:00,,189.22999572753906,135.75
2025-01-02 17:48:00+00:00,,189.1750030517578,135.58999633789062
2025-01-02 17:49:00+00:00,,189.07000732421875,135.33999633789062
2025-01-02 17:50:00+00:00,,189.36500549316406,135.6999969482422
2025-01-02 17:51:00+00:00,,189.5019989013672,135.91000366210938
2025-01-02 17:52:00+00:00,,189.408203125,135.99000549316406
2025-01-02 17:53:00+00:00,,189.46499633789062,136.0500030517578
2025-01-02 17:54:00+00:00,,189.4250030517578,135.97250366210938
2025-01-02 17:55:00+00:00,,189.5399932861328,135.89999389648438
2025-01-02 17:56:00+00:00,,189.77999877929688,136.2050018310547
2025-01-02 17:57:00+00:00,,189.75,136.11289978027344
2025-01-02 17:58:00+00:00,,189.74000549316406,136.14999389648438
2025-01-02 17:59:00+00:00,,189.81500244140625,136.19000244140625
2025-01-02 18:00:00+00:00,,189.72000122070312,135.93499755859375
2025-01-02 18:01:00+00:00,,189.61000061035156,135.6699981689453
2025-01-02 18:02:00+00:00,,189.6199951171875,135.52999877929688
2025-01-02 18:03:00+00:00,,189.67999267578125,135.48989868164062
2025-01-02 18:04:00+00:00,,189.49000549316406,135.39999389648438
2025-01-02 18:05:00+00:00,,189.75999450683594,135.5800018310547
2025-01-02 18:06:00+00:00,,189.88999938964844,135.67999267578125
2025-01-02 18:07:00+00:00,,190.05999755859375,135.9949951171875
2025-01-02 18:08:00+00:00,,190.07000732421875,136.12010192871094
2025-01-02 18:09:00+00:00,,190.1699981689453,136.21310424804688
2025-01-02 18:10:00+00:00,,189.97500610351562,135.94009399414062
2025-01-02 18:11:00+00:00,,189.9199981689453,135.89999389648438
2025-01-02 18:12:00+00:00,,189.99000549316406,135.9199981689453
2025-01-02 18:13:00+00:00,,189.89999389648438,135.77499389648438
2025-01-02 18:14:00+00:00,,189.83999633789062,135.80990600585938
2025-01-02 18:15:00+00:00,,189.61410522460938,135.7071990966797
2025-01-02 18:16:00+00:00,,189.71839904785156,135.85000610351562
2025-01-02 18:17:00+00:00,,189.57000732421875,135.82179260253906
2025-01-02 18:18:00+00:00,,189.89500427246094,136.14999389648438
2025-01-02 18:19:00+00:00,,189.8699951171875,136.07000732421875
2025-01-02 18:20:00+00:00,,190.0399932861328,136.302001953125
2025-01-02 18:21:00+00:00,,189.82000732421875,136.08120727539062
2025-01-02 18:22:00+00:00,,189.94500732421875,136.24000549316406
2025-01-02 18:23:00+00:00,,189.97999572753906,136.2550048828125
2025-01-02 18:24:00+00:00,,189.8699951171875,136.22999572753906
2025-01-02 18:25:00+00:00,,189.8300018310547,136.1699981689453
2025-01-02 18:26:00+00:00,,189.72999572753906,135.9669952392578
2025-01-02 18:27:00+00:00,,189.91000366210938,136.1199951171875
2025-01-02 18:28:00+00:00,,189.86000061035156,136.08999633789062
2025-01-02 18:29:00+00:00,,190.0500030517578,136.36990356445312
2025-01-02 18:30:00+00:00,,189.77000427246094,135.97999572753906
2025-01-02 18:31:00+00:00,,189.3800048828125,135.6999969482422
2025-01-02 18:32:00+00:00,,189.42999267578125,135.70359802246094
2025-01-02 18:33:00+00:00,,189.5500030517578,135.8509979248047
2025-01-02 18:34:00+00:00,,189.44009399414062,135.72999572753906
2025-01-02 18:35:00+00:00,,189.5399932861328,135.86659240722656
2025-01-02 18:36:00+00:00,,189.82000732421875,136.02999877929688
2025-01-02 18:37:00+00:00,,189.86000061035156,136.0500030517578
2025-01-02 18:38:00+00:00,,189.6199951171875,135.81500244140625
2025-01-02 18:39:00+00:00,,189.66000366210938,135.82000732421875
2025-01-02 18:40:00+00:00,,189.5399932861328,135.69000244140625
2025-01-02 18:41:00+00:00,,189.60000610351562,135.80999755859375
2025-01-02 18:42:00+00:00,,189.5500030517578,135.78500366210938
2025-01-02 18:43:00+00:00,,189.85000610351562,136.07000732421875
2025-01-02 18:44:00+00:00,,190.07000732421875,136.3446044921875
2025-01-02 18:45:00+00:00,,189.82000732421875,136.22000122070312
2025-01-02 18:46:00+00:00,,189.83999633789062,136.22500610351562
2025-01-02 18:47:00+00:00,,189.8184051513672,136.17999267578125
2025-01-02 18:48:00+00:00,,189.52999877929688,135.84010314941406
2025-01-02 18:49:00+00:00,,189.64999389648438,135.96240234375
2025-01-02 18:50:00+00:00,,189.5727996826172,135.7700958251953
2025-01-02 18:51:00+00:00,,189.5500030517578,135.77999877929688
2025-01-02 18:52:00+00:00,,189.5399932861328,135.67999267578125
2025-01-02 18:53:00+00:00,,189.60000610351562,135.75
2025-01-02 18:54:00+00:00,,189.5399932861328,135.6649932861328
2025-01-02 18:55:00+00:00,,189.7100067138672,135.8896942138672
2025-01-02 18:56:00+00:00,,189.6999969482422,135.86000061035156
2025-01-02 18:57:00+00:00,,189.80999755859375,135.9600067138672
2025-01-02 18:58:00+00:00,,190.0,136.02999877929688
2025-01-02 18:59:00+00:00,,190.0399932861328,136.11000061035156
2025-01-02 19:00:00+00:00,,190.0850067138672,136.1300048828125
2025-01-02 19:01:00+00:00,,189.97000122070312,136.0
2025-01-02 19:02:00+00:00,,190.0500030517578,136.0850067138672
2025-01-02 19:03:00+00:00,,190.1999969482422,136.2050018310547
2025-01-02 19:04:00+00:00,,190.35000610351562,136.4499969482422
2025-01-02 19:05:00+00:00,,190.33999633789062,136.38999938964844
2025-01-02 19:06:00+00:00,,190.5601043701172,136.62539672851562
2025-01-02 19:07:00+00:00,,190.3699951171875,136.452392578125
2025-01-02 19:08:00+00:00,,190.3000030517578,136.42999267578125
